date,t,days_from_start,team,dept_bin,team_dept_idx,split_code,day_num,sin_dow,cos_dow,quarter,week_of_study,logit_productivity,productivity_beta,actual_productivity,log_incentive,log_wip_imputed,log_over_time,log_smv,log_workers,incentive_x_log_wip,log_wip_x_log_workers,no_of_style_change,style_change_flag,targeted_productivity,wip_missing_flag,idle_event,cum_overtime_team,outlier_flag,low_productivity
2015-01-01,0,0,1,0,0,0,5,-0.8660254037844386,0.5000000000000001,1,1,2.052273179677888,0.8861771094402673,0.8865,0.0,0.0,6.8679744089702925,1.3711807233098425,2.0794415416798357,0.0,0.0,0,0,0.75,1,0,960,0,0
2015-01-01,0,0,1,1,12,0,5,-0.8660254037844386,0.5000000000000001,1,1,1.0997785653529408,0.7502186131127819,0.750427826,3.828641396489095,0.0,8.839421607620602,3.3350575791576103,4.051784947803305,0.0,0.0,0,0,0.75,0,0,7860,0,0
2015-01-01,0,0,2,0,4,0,5,-0.8660254037844386,0.5000000000000001,1,1,1.125208143446938,0.7549534951812866,0.755166667,0.0,0.0,6.8679744089702925,1.3711807233098425,2.0794415416798357,0.0,0.0,0,0,0.75,1,0,960,0,0
2015-01-01,0,0,2,1,16,0,5,-0.8660254037844386,0.5000000000000001,1,1,1.114064525129968,0.7528860877827903,0.753097531,3.5553480614894135,6.598509028614515,8.699681400989514,2.9892110565637253,4.007333185232471,23.459996283605008,26.442424203423023,0,0,0.75,0,0,6960,0,0
2015-01-01,0,0,3,1,17,0,5,-0.8660254037844386,0.5000000000000001,1,1,1.1172138321111116,0.7534715452698413,0.753683478,3.828641396489095,6.679599185844383,8.839421607620602,3.3350575791576103,4.051784947803305,25.573789954878663,27.06429943856348,0,0,0.75,0,0,6900,0,0
2015-01-01,0,0,4,0,6,0,5,-0.8660254037844386,0.5000000000000001,1,1,0.3762892957314602,0.5929778153517127,0.593055556,0.0,0.0,7.6783263565068856,1.3711807233098425,2.8903717578961645,0.0,0.0,0,0,0.75,1,0,2160,0,1
2015-01-01,0,0,4,1,18,0,5,-0.8660254037844386,0.5000000000000001,1,1,0.08469982355898335,0.521162305764411,0.52118,0.0,6.759255270663693,8.881975184248867,3.165053018170694,4.0943445622221,0.0,27.67472006211296,0,0,0.65,0,0,9360,0,1
2015-01-01,0,0,5,1,19,0,5,-0.8660254037844386,0.5000000000000001,1,1,0.8802447238532843,0.7068729313216373,0.707045902,3.9318256327243257,6.505784060128229,8.205491613120236,2.4344901638739844,3.417726683613366,25.579608528581506,22.23499178012675,0,0,0.8,0,0,3660,0,1
2015-01-01,0,0,6,1,20,0,5,-0.8660254037844386,0.5000000000000001,1,1,1.3871133019980066,0.8001309983492063,0.800381944,3.9318256327243257,0.0,7.560601162768557,3.254242968705492,4.02535169073515,0.0,0.0,0,0,0.8,0,0,1920,0,0
2015-01-01,0,0,7,0,9,0,5,-0.8660254037844386,0.5000000000000001,1,1,0.1631414392792569,0.540695140962406,0.540729167,0.0,0.0,6.8679744089702925,1.0647107369924282,2.0794415416798357,0.0,0.0,0,0,0.8,1,0,960,0,1
2015-01-01,0,0,7,1,21,0,5,-0.8660254037844386,0.5000000000000001,1,1,1.3855087275756837,0.7998742690058479,0.800125,3.6635616461296463,6.892641641172089,8.812992231969966,3.254242968705492,4.02535169073515,25.251617557114166,27.745306683923566,0,0,0.8,0,0,7680,0,0
2015-01-01,0,0,8,0,10,0,5,-0.8660254037844386,0.5000000000000001,1,1,0.737820499715635,0.6765190757994987,0.676666667,0.0,0.0,6.8679744089702925,1.0647107369924282,2.0794415416798357,0.0,0.0,0,0,0.75,1,0,960,0,1
2015-01-01,0,0,8,1,22,0,5,-0.8660254037844386,0.5000000000000001,1,1,2.757886942446455,0.9403572323341687,0.940725424,4.59511985013459,7.011213987350367,8.865170419651774,3.264231526588998,4.07753744390572,32.21736856681496,28.588487560656645,0,0,0.8,0,0,8040,0,0
2015-01-01,0,0,9,1,23,0,5,-0.8660254037844386,0.5000000000000001,1,1,0.9491401516443645,0.7209422227000836,0.721126957,3.8066624897703196,0.0,8.839421607620602,3.3350575791576103,4.051784947803305,0.0,0.0,0,0,0.7,0,0,6900,0,0
