t,team,dept_bin,team_dept_idx,split_code,quarter,day_num,week_of_study,actual_productivity,productivity_beta,logit_productivity,low_productivity,low_productivity_abs,productivity_gap,log_incentive,log_wip_imputed,log_over_time,log_smv,log_workers,targeted_productivity,no_of_style_change,idle_event,wip_missing_flag,incentive_above_695,incentive_zero,style_change_flag,outlier_flag,workers_per_smv,cum_overtime_team,incentive_x_log_wip,log_wip_x_log_workers,incentive_x_workers,sin_dow,cos_dow,log_incentive_s,log_wip_imputed_s,log_over_time_s,log_smv_s,log_workers_s,targeted_productivity_s,no_of_style_change_s,sin_dow_s,cos_dow_s,t_s
0,1,0,0,0,1,5,1,0.8865,0.8861771094402673,2.052273179677888,0,0,0.13649999999999995,0.0,0.0,6.8679744089702925,1.3711807233098425,2.0794415416798357,0.75,0,0,1,0,1,0,0,2.030456852791878,960,0.0,0.0,0.0,-0.8660254037844386,0.5000000000000001,-0.9856129740972022,-1.1731446939116332,-0.8667014757335281,-1.0992948748235933,-1.329301807783477,0.1762726874672926,-0.22888618729874646,-1.2647205579438707,0.6664451087488514,-1.6511514189325383
0,1,1,12,0,1,5,1,0.750427826,0.7502186131127819,1.0997785653529408,0,0,0.00042782600000002,3.828641396489095,6.525029657843462,8.839421607620602,3.3350575791576103,4.051784947803305,0.75,0,0,0,0,0,0,0,2.047720797720798,7860,24.981998661338555,26.438016951620288,15.51283158083114,-0.8660254037844386,0.5000000000000001,0.9277054058868384,0.7256152080350461,0.5801410320570825,1.071580054566176,0.9166677981010531,0.1762726874672926,-0.22888618729874646,-1.2647205579438707,0.6664451087488514,-1.6511514189325383
0,2,0,4,0,1,5,1,0.755166667,0.7549534951812866,1.125208143446938,0,0,0.005166667000000014,0.0,0.0,6.8679744089702925,1.3711807233098425,2.0794415416798357,0.75,0,0,1,0,1,0,0,2.030456852791878,960,0.0,0.0,0.0,-0.8660254037844386,0.5000000000000001,-0.9856129740972022,-1.1731446939116332,-0.8667014757335281,-1.0992948748235933,-1.329301807783477,0.1762726874672926,-0.22888618729874646,-1.2647205579438707,0.6664451087488514,-1.6511514189325383
0,2,1,16,0,1,5,1,0.753097531,0.7528860877827903,1.114064525129968,0,0,0.0030975309999999867,3.5553480614894135,6.598509028614515,8.699681400989514,2.9892110565637253,4.007333185232471,0.75,0,0,0,0,0,0,0,2.7679919476597883,6960,23.459996283605008,26.442424203423023,14.247464271858464,-0.8660254037844386,0.5000000000000001,0.7911302851503994,0.7469974377192647,0.477585878087085,0.6892803482072475,0.8660491749180281,0.1762726874672926,-0.22888618729874646,-1.2647205579438707,0.6664451087488514,-1.6511514189325383
0,3,1,17,0,1,5,1,0.753683478,0.7534715452698413,1.1172138321111116,0,0,0.003683478000000018,3.828641396489095,6.679599185844383,8.839421607620602,3.3350575791576103,4.051784947803305,0.75,0,0,0,0,0,0,0,2.047720797720798,6900,25.573789954878663,27.06429943856348,15.51283158083114,-0.8660254037844386,0.5000000000000001,0.9277054058868384,0.7705943785861225,0.5801410320570825,1.071580054566176,0.9166677981010531,0.1762726874672926,-0.22888618729874646,-1.2647205579438707,0.6664451087488514,-1.6511514189325383
0,4,0,6,0,1,5,1,0.593055556,0.5929778153517127,0.3762892957314602,1,1,-0.15694444399999996,0.0,0.0,7.6783263565068856,1.3711807233098425,2.8903717578961645,0.75,0,0,1,0,1,0,0,4.568527918781726,2160,0.0,0.0,0.0,-0.8660254037844386,0.5000000000000001,-0.9856129740972022,-1.1731446939116332,-0.2719852465748004,-1.0992948748235933,-0.40587000961859426,0.1762726874672926,-0.22888618729874646,-1.2647205579438707,0.6664451087488514,-1.6511514189325383
0,4,1,18,0,1,5,1,0.52118,0.521162305764411,0.08469982355898335,1,1,-0.12882000000000005,0.0,6.759255270663693,8.881975184248867,3.165053018170694,4.0943445622221,0.65,0,0,0,0,1,0,0,2.5327142254115658,9360,0.0,27.67472006211296,0.0,-0.8660254037844386,0.5000000000000001,-0.9856129740972022,0.7937740095965593,0.6113710460115266,0.8836565408135304,0.9651317725418185,-0.7986763836723731,-0.22888618729874646,-1.2647205579438707,0.6664451087488514,-1.6511514189325383
0,5,1,19,0,1,5,1,0.707045902,0.7068729313216373,0.8802447238532843,1,0,-0.0929540980000001,3.9318256327243257,6.505784060128229,8.205491613120236,2.4344901638739844,3.417726683613366,0.8,0,0,0,0,0,0,0,2.6730937773882557,3660,25.579608528581506,22.23499178012675,13.437905380276934,-0.8660254037844386,0.5000000000000001,0.9792705109119583,0.7200148090871645,0.11490064234006199,0.07609033318004338,0.1946456668082843,0.663747223037126,-0.22888618729874646,-1.2647205579438707,0.6664451087488514,-1.6511514189325383
0,6,1,20,0,1,5,1,0.800381944,0.8001309983492063,1.3871133019980066,0,0,0.0003819439999999119,3.9318256327243257,7.065613363597717,7.560601162768557,3.254242968705492,4.02535169073515,0.8,0,0,0,0,0,0,0,2.1621621621621623,1920,27.780759733913047,28.44157869923894,15.826980958362665,-0.8660254037844386,0.5000000000000001,0.9792705109119583,0.8829231005590413,-0.358383611519654,0.9822473597811097,0.8865674150869745,0.663747223037126,-0.22888618729874646,-1.2647205579438707,0.6664451087488514,-1.6511514189325383
0,7,0,9,0,1,5,1,0.540729167,0.540695140962406,0.1631414392792569,1,1,-0.2592708330000001,0.0,0.0,6.8679744089702925,1.0647107369924282,2.0794415416798357,0.8,0,0,1,0,1,0,0,2.7586206896551726,960,0.0,0.0,0.0,-0.8660254037844386,0.5000000000000001,-0.9856129740972022,-1.1731446939116332,-0.8667014757335281,-1.4380676486489155,-1.329301807783477,0.663747223037126,-0.22888618729874646,-1.2647205579438707,0.6664451087488514,-1.6511514189325383
0,7,1,21,0,1,5,1,0.800125,0.7998742690058479,1.3855087275756837,0,0,0.00012499999999993072,3.6635616461296463,6.892641641172089,8.812992231969966,3.254242968705492,4.02535169073515,0.8,0,0,0,0,0,0,0,2.1621621621621623,7680,25.251617557114166,27.745306683923566,14.74712406636042,-0.8660254037844386,0.5000000000000001,0.8452087477209552,0.8325889583505627,0.5607445480062361,0.9822473597811097,0.8865674150869745,0.663747223037126,-0.22888618729874646,-1.2647205579438707,0.6664451087488514,-1.6511514189325383
0,8,0,10,0,1,5,1,0.676666667,0.6765190757994987,0.737820499715635,1,1,-0.073333333,0.0,0.0,6.8679744089702925,1.0647107369924282,2.0794415416798357,0.75,0,0,1,0,1,0,0,2.7586206896551726,960,0.0,0.0,0.0,-0.8660254037844386,0.5000000000000001,-0.9856129740972022,-1.1731446939116332,-0.8667014757335281,-1.4380676486489155,-1.329301807783477,0.1762726874672926,-0.22888618729874646,-1.2647205579438707,0.6664451087488514,-1.6511514189325383
0,8,1,22,0,1,5,1,0.940725424,0.9403572323341687,2.757886942446455,0,0,0.140725424,4.59511985013459,7.011213987350367,8.865170419651774,3.264231526588998,4.07753744390572,0.8,0,0,0,1,0,0,0,2.2553516819571864,8040,32.21736856681496,28.588487560656645,18.73677324815823,-0.8660254037844386,0.5000000000000001,1.3107439726657701,0.8670930798961902,0.5990380513621463,0.9932887393999459,0.9459929771454892,0.663747223037126,-0.22888618729874646,-1.2647205579438707,0.6664451087488514,-1.6511514189325383
0,9,1,23,0,1,5,1,0.721126957,0.7209422227000836,0.9491401516443645,0,0,0.021126957000000002,3.8066624897703196,6.771935555839602,8.839421607620602,3.3350575791576103,4.051784947803305,0.7,0,0,0,0,0,0,0,2.047720797720798,6900,25.778473063556532,27.438426552644906,15.423777777418833,-0.8660254037844386,0.5000000000000001,0.9167217064900888,0.7974639264704733,0.5801410320570825,1.071580054566176,0.9166677981010531,-0.3112018481025408,-0.22888618729874646,-1.2647205579438707,0.6664451087488514,-1.6511514189325383
0,10,0,1,0,1,5,1,0.705916667,0.7057446397092731,0.8748055091700868,0,0,0.055916666999999975,0.0,0.0,6.8679744089702925,1.3711807233098425,2.0794415416798357,0.65,0,0,1,0,1,0,0,2.030456852791878,960,0.0,0.0,0.0,-0.8660254037844386,0.5000000000000001,-0.9856129740972022,-1.1731446939116332,-0.8667014757335281,-1.0992948748235933,-1.329301807783477,-0.7986763836723731,-0.22888618729874646,-1.2647205579438707,0.6664451087488514,-1.6511514189325383
