feature,mean_train,std_train
log_incentive,1.9722586021343498,2.001047727624417
log_wip_imputed,4.031475445034998,3.4364690612824504
log_over_time,8.048929618124427,1.3625858986274828
log_smv,2.365655224438741,0.904647628133884
log_workers,3.2467946743582226,0.8781701234762262
incentive_x_log_wip,13.748697808425584,14.123621673739336
log_wip_x_log_workers,15.894628348977546,13.607655982465428
incentive_x_workers,7.769652123249911,7.927801887892978
workers_per_smv,2.526979750931749,0.8228812210286601
targeted_productivity,0.7319198055893075,0.10256946025201612
no_of_style_change,0.06318347509113001,0.27604756685759185
sin_dow,0.01999329607764811,0.700564796149545
cos_dow,0.024908869987849313,0.7128736092070083
quarter,2.2362002567394095,1.0583363993661454
week_of_study,3.8383961117861483,1.959959667694345
t,19.455650060753342,11.783080484121395
