date,quarter,department,day,team,targeted_productivity,smv,wip,over_time,incentive,idle_time,idle_men,no_of_style_change,no_of_workers,actual_productivity,productivity_beta,productivity_clipped,logit_productivity,low_productivity,low_productivity_abs,productivity_gap,wip_missing_flag,wip_imputed,log_wip_imputed,outlier_flag,outlier_reason,idle_event,t,week_of_study,days_from_start,day_num,sin_dow,cos_dow,log_incentive,log_over_time,log_smv,log_workers,incentive_x_log_wip,log_wip_x_log_workers,incentive_x_workers,workers_per_smv,incentive_above_695,incentive_zero,dept_bin,team_dept_id,team_dept_idx,style_change_flag,cum_overtime_team,split,log_incentive_s,log_wip_imputed_s,log_over_time_s,log_smv_s,log_workers_s,incentive_x_log_wip_s,log_wip_x_log_workers_s,incentive_x_workers_s,workers_per_smv_s,targeted_productivity_s,no_of_style_change_s,sin_dow_s,cos_dow_s,quarter_s,week_of_study_s,t_s,split_code
2015-01-01,1,finishing,Thursday,1,0.75,3.94,,960,0,0.0,0,0,8.0,0.8865,0.8861771094402673,0.8865,2.052273179677888,0,0,0.13649999999999995,1,0.0,0.0,0,,0,0,1,0,5,-0.8660254037844386,0.5000000000000001,0.0,6.8679744089702925,1.3711807233098425,2.0794415416798357,0.0,0.0,0.0,2.030456852791878,0,1,0,finishing_team1,0,0,960,train,-0.9856129740972022,-1.1731446939116332,-0.8667014757335281,-1.0992948748235933,-1.329301807783477,-0.973454127137173,-1.168065122270806,-0.980051246628074,-0.6033955879065779,0.1762726874672926,-0.22888618729874646,-1.2647205579438707,0.6664451087488514,-1.1680598507996036,-1.448191081975262,-1.6511514189325383,0
2015-01-01,1,sweing,Thursday,1,0.75,28.08,681.0,6900,45,0.0,0,0,57.5,0.750427826,0.7502186131127819,0.750427826,1.0997785653529408,0,0,0.00042782600000002,0,681.0,6.525029657843462,0,,0,0,1,0,5,-0.8660254037844386,0.5000000000000001,3.828641396489095,8.839421607620602,3.3350575791576103,4.051784947803305,24.981998661338555,26.438016951620288,15.51283158083114,2.047720797720798,0,0,1,sweing_team1,12,0,7860,train,0.9277054058868384,0.7256152080350461,0.5801410320570825,1.071580054566176,0.9166677981010531,0.7953555477770645,0.7748129888225243,0.9767120277571898,-0.5824157131837854,0.1762726874672926,-0.22888618729874646,-1.2647205579438707,0.6664451087488514,-1.1680598507996036,-1.448191081975262,-1.6511514189325383,0
2015-01-01,1,finishing,Thursday,2,0.75,3.94,,960,0,0.0,0,0,8.0,0.755166667,0.7549534951812866,0.755166667,1.125208143446938,0,0,0.005166667000000014,1,0.0,0.0,0,,0,0,1,0,5,-0.8660254037844386,0.5000000000000001,0.0,6.8679744089702925,1.3711807233098425,2.0794415416798357,0.0,0.0,0.0,2.030456852791878,0,1,0,finishing_team2,4,0,960,train,-0.9856129740972022,-1.1731446939116332,-0.8667014757335281,-1.0992948748235933,-1.329301807783477,-0.973454127137173,-1.168065122270806,-0.980051246628074,-0.6033955879065779,0.1762726874672926,-0.22888618729874646,-1.2647205579438707,0.6664451087488514,-1.1680598507996036,-1.448191081975262,-1.6511514189325383,0
2015-01-01,1,sweing,Thursday,2,0.75,19.87,733.0,6000,34,0.0,0,0,55.0,0.753097531,0.7528860877827903,0.753097531,1.114064525129968,0,0,0.0030975309999999867,0,733.0,6.598509028614515,0,,0,0,1,0,5,-0.8660254037844386,0.5000000000000001,3.5553480614894135,8.699681400989514,2.9892110565637253,4.007333185232471,23.459996283605008,26.442424203423023,14.247464271858464,2.7679919476597883,0,0,1,sweing_team2,16,0,6960,train,0.7911302851503994,0.7469974377192647,0.477585878087085,0.6892803482072475,0.8660491749180281,0.6875926514823081,0.7751368691299347,0.8171006592005292,0.2928881964601851,0.1762726874672926,-0.22888618729874646,-1.2647205579438707,0.6664451087488514,-1.1680598507996036,-1.448191081975262,-1.6511514189325383,0
2015-01-01,1,sweing,Thursday,3,0.75,28.08,795.0,6900,45,0.0,0,0,57.5,0.753683478,0.7534715452698413,0.753683478,1.1172138321111116,0,0,0.003683478000000018,0,795.0,6.679599185844383,0,,0,0,1,0,5,-0.8660254037844386,0.5000000000000001,3.828641396489095,8.839421607620602,3.3350575791576103,4.051784947803305,25.573789954878663,27.06429943856348,15.51283158083114,2.047720797720798,0,0,1,sweing_team3,17,0,6900,train,0.9277054058868384,0.7705943785861225,0.5801410320570825,1.071580054566176,0.9166677981010531,0.8372563652310219,0.8208372627864023,0.9767120277571898,-0.5824157131837854,0.1762726874672926,-0.22888618729874646,-1.2647205579438707,0.6664451087488514,-1.1680598507996036,-1.448191081975262,-1.6511514189325383,0
2015-01-01,1,finishing,Thursday,4,0.75,3.94,,2160,0,0.0,0,0,18.0,0.593055556,0.5929778153517127,0.593055556,0.3762892957314602,1,1,-0.15694444399999996,1,0.0,0.0,0,,0,0,1,0,5,-0.8660254037844386,0.5000000000000001,0.0,7.6783263565068856,1.3711807233098425,2.8903717578961645,0.0,0.0,0.0,4.568527918781726,0,1,0,finishing_team4,6,0,2160,train,-0.9856129740972022,-1.1731446939116332,-0.2719852465748004,-1.0992948748235933,-0.40587000961859426,-0.973454127137173,-1.168065122270806,-0.980051246628074,2.4809755231719786,0.1762726874672926,-0.22888618729874646,-1.2647205579438707,0.6664451087488514,-1.1680598507996036,-1.448191081975262,-1.6511514189325383,0
2015-01-01,1,sweing,Thursday,4,0.65,23.69,861.0,7200,0,0.0,0,0,60.0,0.52118,0.521162305764411,0.52118,0.08469982355898335,1,1,-0.12882000000000005,0,861.0,6.759255270663693,0,,0,0,1,0,5,-0.8660254037844386,0.5000000000000001,0.0,8.881975184248867,3.165053018170694,4.0943445622221,0.0,27.67472006211296,0.0,2.5327142254115658,0,1,1,sweing_team4,18,0,9360,train,-0.9856129740972022,0.7937740095965593,0.6113710460115266,0.8836565408135304,0.9651317725418185,-0.973454127137173,0.8656958794604318,-0.980051246628074,0.006968775484568933,-0.7986763836723731,-0.22888618729874646,-1.2647205579438707,0.6664451087488514,-1.1680598507996036,-1.448191081975262,-1.6511514189325383,0
2015-01-01,1,sweing,Thursday,5,0.8,11.41,668.0,3660,50,0.0,0,0,30.5,0.707045902,0.7068729313216373,0.707045902,0.8802447238532843,1,0,-0.0929540980000001,0,668.0,6.505784060128229,0,,0,0,1,0,5,-0.8660254037844386,0.5000000000000001,3.9318256327243257,8.205491613120236,2.4344901638739844,3.417726683613366,25.579608528581506,22.23499178012675,13.437905380276934,2.6730937773882557,0,0,1,sweing_team5,19,0,3660,train,0.9792705109119583,0.7200148090871645,0.11490064234006199,0.07609033318004338,0.1946456668082843,0.8376683398532013,0.4659408967510113,0.7149842209961569,0.17756393355757186,0.663747223037126,-0.22888618729874646,-1.2647205579438707,0.6664451087488514,-1.1680598507996036,-1.448191081975262,-1.6511514189325383,0
2015-01-01,1,sweing,Thursday,6,0.8,25.9,1170.0,1920,50,0.0,0,0,56.0,0.800381944,0.8001309983492063,0.800381944,1.3871133019980066,0,0,0.0003819439999999119,0,1170.0,7.065613363597717,0,,0,0,1,0,5,-0.8660254037844386,0.5000000000000001,3.9318256327243257,7.560601162768557,3.254242968705492,4.02535169073515,27.780759733913047,28.44157869923894,15.826980958362665,2.1621621621621623,0,0,1,sweing_team6,20,0,1920,train,0.9792705109119583,0.8829231005590413,-0.358383611519654,0.9822473597811097,0.8865674150869745,0.9935172613394117,0.9220508195113956,1.0163383178655843,-0.44334173565601465,0.663747223037126,-0.22888618729874646,-1.2647205579438707,0.6664451087488514,-1.1680598507996036,-1.448191081975262,-1.6511514189325383,0
2015-01-01,1,finishing,Thursday,7,0.8,2.9,,960,0,0.0,0,0,8.0,0.540729167,0.540695140962406,0.540729167,0.1631414392792569,1,1,-0.2592708330000001,1,0.0,0.0,0,,0,0,1,0,5,-0.8660254037844386,0.5000000000000001,0.0,6.8679744089702925,1.0647107369924282,2.0794415416798357,0.0,0.0,0.0,2.7586206896551726,0,1,0,finishing_team7,9,0,960,train,-0.9856129740972022,-1.1731446939116332,-0.8667014757335281,-1.4380676486489155,-1.329301807783477,-0.973454127137173,-1.168065122270806,-0.980051246628074,0.28149984809940837,0.663747223037126,-0.22888618729874646,-1.2647205579438707,0.6664451087488514,-1.1680598507996036,-1.448191081975262,-1.6511514189325383,0
