team,observed_productivity,forecast_mean,forecast_lower80,forecast_upper80,forecast_lower95,forecast_upper95,prob_low,actual_low,pred_low_at_0_50
9,0.4078125,0.4154281875069023,0.38276393849687507,0.4509582602073908,0.3659011283065644,0.46978571014879733,1.0,1,1
9,0.750371895,0.7479435505038255,0.7175055583701738,0.7738227290814084,0.7004892324843963,0.7876361515013821,1.0,1,1
10,0.410833333,0.412213373906068,0.3774379016784376,0.44833982565363123,0.3604710458460496,0.46790424605040065,1.0,1,1
10,0.700251773,0.6922202364642326,0.6588615703117846,0.7236365231730897,0.6413626674276885,0.7377772372435606,1.0,1,1
11,0.800516667,0.8012270038917918,0.773398550456723,0.8278101968931165,0.7558893946846964,0.8403568210260445,0.9946666666666667,1,1
12,0.590617284,0.5752178132777525,0.5411151134195025,0.6102877558308202,0.5205847156351285,0.6264814591358803,1.0,1,1
12,0.800401961,0.7998817950696583,0.7759971322523239,0.8220852216301077,0.7622910916549966,0.8330912197560204,0.9993333333333333,1,1
1,0.768847222,0.7615317686692631,0.7312782264328567,0.7896595900856096,0.7161446321889202,0.80283555811856,1.0,1,1
1,0.550349708,0.548623234055277,0.5031548007754357,0.5936427123154875,0.4804018944963362,0.6175944418589083,1.0,1,1
2,0.5565625,0.5552968794595303,0.5174509952025717,0.5900243586540561,0.4982069734410671,0.609121572258752,1.0,1,1
2,0.700211111,0.6928422970681658,0.6573228781527861,0.7256041147028621,0.6379937697178202,0.744296356318312,1.0,1,1
3,0.921703704,0.9264882034421554,0.9155422785253667,0.9358427316730451,0.909421006615423,0.9402694103144673,0.0,0,0
3,0.750716981,0.7549897254194332,0.7235390342227538,0.7838462025721721,0.7055580709345421,0.7979684502694552,1.0,1,1
4,0.500258046,0.500139795582176,0.45994266820307256,0.5418643975185902,0.43931831892367934,0.5622492507161255,1.0,1,1
5,0.921604938,0.9244158906594853,0.9138112086660576,0.9337755827040677,0.9074531426746087,0.9381594145737461,0.0,0,0
5,0.550403509,0.5506974375936491,0.5119967595051098,0.587304347927111,0.49105870556053316,0.6071996530358065,1.0,1,1
6,0.271875,0.2847995751959895,0.2550802582321939,0.3167389088534302,0.2402461832549377,0.33449019508993,1.0,1,1
6,0.75065101,0.7507942700575283,0.7219092274539769,0.7780981521990463,0.7054894427321042,0.7908469578911496,1.0,1,1
7,0.799982853,0.8006458792260318,0.7739593423283015,0.8235671710892426,0.7593406476903374,0.8360346228307416,0.9983333333333333,1,1
8,0.376597222,0.3788179474199052,0.34632918581399214,0.41308543892643174,0.3289363246519454,0.43317530926322007,1.0,1,1
8,0.750425926,0.7478722405136736,0.7155877548094841,0.7795566380993026,0.6966561368110923,0.795626111720924,1.0,1,1
9,0.4078125,0.4111212540870594,0.3772651170020079,0.4464131493612205,0.3584998374585263,0.4642862029229002,1.0,1,1
9,0.750395513,0.7486942530965678,0.7208768590107666,0.775185717863762,0.70587360010098,0.7866882089824382,1.0,1,1
10,0.410833333,0.40954163112538855,0.37579373599857513,0.44343599873757206,0.35816167629733814,0.46350822137167086,1.0,1,1
10,0.700236601,0.6972792168882151,0.6658420958968835,0.7292719336250162,0.6470884771033926,0.7435523429578912,1.0,1,1
11,0.800779018,0.8094492267889718,0.7713737625616399,0.8419661446242596,0.7513139922567905,0.8571058290085776,0.9436666666666667,1,1
12,0.590617284,0.5736436477866129,0.5379249800964817,0.6080986717341179,0.5180902470486014,0.6266665506186933,1.0,1,1
12,0.800260821,0.7994399301845364,0.7756831194540627,0.8228010582184841,0.7601535888136198,0.8336215067365719,0.9986666666666667,1,1
1,0.448722222,0.4462383101806837,0.40651834891533817,0.48726788295930534,0.3865039885883436,0.5097885699855378,1.0,1,1
1,0.700019883,0.6971699539416533,0.6626836273066519,0.7293751206731602,0.6435081854564814,0.7457157311969803,1.0,1,1
2,0.585,0.5740484644264994,0.5380409433571467,0.6107906190569077,0.5201471521144871,0.6277369195510956,1.0,1,1
2,0.683550607,0.6737333947844093,0.6384629248793517,0.7069875875036854,0.6199980305183428,0.7231067310099687,1.0,1,1
3,0.936355556,0.9389133692564147,0.9290940767435993,0.94713303557382,0.9231966103550859,0.9510575986198396,0.0,0,0
3,0.750473684,0.7497452847803157,0.7204878924412006,0.7763093955219124,0.7064475489278438,0.7892243538674943,1.0,1,1
4,0.673083333,0.6595681015610246,0.6253040868341605,0.6911207303182296,0.6076747068533787,0.7080003911955663,1.0,1,1
4,0.600239766,0.5966810190536529,0.562515579897443,0.6307996552029327,0.5429180248771613,0.6501581444858018,1.0,1,1
5,0.707446429,0.7080348311591582,0.6787781757791631,0.7358956736308526,0.662564764905271,0.7503109151577851,1.0,1,1
6,0.75065101,0.7498340003144893,0.7228447742448872,0.7755526077641904,0.7084533688421576,0.7877116800712906,1.0,1,1
7,0.350416667,0.3578293841022862,0.32512306261161,0.3924377972433252,0.30680456497033337,0.4137117838065922,1.0,1,1
7,0.579511494,0.5699764463522661,0.5068001994616557,0.6297084029733209,0.47172959329012815,0.6642858201057894,1.0,1,1
8,0.813611111,0.8075236872896698,0.7842185257976738,0.8278852117380088,0.7692672189562016,0.8397119133370328,0.998,1,1
8,0.75075,0.7552244996159629,0.7280066749520995,0.7805948616250324,0.7126796569883943,0.7914584030605298,1.0,1,1
9,0.447083333,0.45024214070445573,0.4155052930028986,0.48610031584750085,0.3967767517508677,0.5054821538012177,1.0,1,1
9,0.750395513,0.7514665275691681,0.7237075205838597,0.7764357990917508,0.7077359349048882,0.7900768684658177,1.0,1,1
10,0.664583333,0.6501822580628811,0.6174983910585191,0.6828141265306951,0.5993510393575101,0.6981325904131939,1.0,1,1
