date,t,team,dept_bin,team_dept_idx,split_code,actual_y,y_pred,pred_var,pred_sd,y_lo80,y_hi80,y_lo95,y_hi95,theta_pred_intercept,theta_filt_intercept,theta_pred_log_incentive,theta_filt_log_incentive,theta_pred_log_wip_imputed,theta_filt_log_wip_imputed,theta_pred_log_workers,theta_filt_log_workers,baseline_group_mean,low_actual,p_low,alarm
2015-01-01,0,1,0,0,0,0.8865,0.6360922089237084,0.14690977368357738,0.3832881079339371,0.31126347267978705,0.9609209451676298,0.0663632373453823,1.2058211805020345,0.8636745005555555,0.9583689759459154,0.13242990040885458,0.11554570077708368,0.033094774784278046,0.012998033234076677,0.04380698488118558,0.02103516908396708,0.8636745005555555,0,0.616837676872075,1
2015-01-03,1,1,0,0,0,0.902916667,0.8012749721486759,0.08519598564371814,0.29188351382652317,0.553909737057567,1.048640207239785,0.36741206142744004,1.2351378828699118,0.9583689759459154,0.9844478240073128,0.11554570077708368,0.11173447039084689,0.012998033234076677,0.008461643370718891,0.02103516908396708,0.015894941047760004,0.8636745005555555,0,0.4302768781680939,0
2015-01-04,2,1,0,0,0,0.915229167,0.8432649744446838,0.07217372757796045,0.2686516844874799,0.6155882337488577,1.0709417151405098,0.44393443236009145,1.2425955165292764,0.9844478240073128,0.9997421562714236,0.11173447039084689,0.11010205499774875,0.008461643370718891,0.006518629726416066,0.015894941047760004,0.013693293149317338,0.8636745005555555,0,0.3642357616057479,0
2015-01-05,3,1,0,0,0,0.961059028,0.8653743271778624,0.06662581012153934,0.2581197592621288,0.646623175067623,1.0841254792881019,0.4816987005554876,1.2490499538002373,0.9997421562714236,1.0184583619264185,0.11010205499774875,0.10886583941184394,0.006518629726416066,0.005047200480607401,0.013693293149317338,0.012026002177768804,0.8636745005555555,0,0.32744481011244214,0
2015-01-06,4,1,0,0,0,0.936496212,0.8892514952678736,0.06364246487835411,0.25227458230736227,0.6754540096138504,1.1030489809218968,0.5142642849730579,1.2642387055626894,1.0184583619264185,1.027514764205678,0.10886583941184394,0.10860929483964049,0.005047200480607401,0.004741843396699309,0.012026002177768804,0.011679999058319762,0.8636745005555555,0,0.29047970900964426,0
2015-01-07,5,1,0,0,0,0.951420455,0.8993789218208488,0.06185836220343832,0.24871341379877027,0.6885994527508333,1.1101583908908643,0.5296851209223061,1.2690727227193914,1.027514764205678,1.0376718480868377,0.10860929483964049,0.10865256052515883,0.004741843396699309,0.004793341206415921,0.011679999058319762,0.011738351733747144,0.8636745005555555,0,0.27405101516140995,0
2015-01-08,6,1,0,0,0,0.947689394,0.9093553797818764,0.0607420162738872,0.24645895454190175,0.7004865182578907,1.118224241305862,0.5430126631650886,1.2756980963986644,1.0376718480868377,1.045462695423313,0.10865256052515883,0.10889487324189505,0.004793341206415921,0.005081758552146165,0.011738351733747144,0.012065160269015688,0.8636745005555555,0,0.25895196979539975,0
2015-01-10,7,1,0,0,0,0.985,0.9161346181054406,0.06004159263277356,0.24503386017604498,0.7084734945527289,1.1237957416581523,0.5519101971796884,1.2803590390311927,1.045462695423313,1.0602131031804294,0.10889487324189505,0.10966930167127516,0.005081758552146165,0.0060035368024515335,0.012065160269015688,0.013109636283667216,0.8636745005555555,0,0.24888369774405356,0
2015-01-11,8,1,0,0,0,0.873068182,0.9276519360372786,0.05961991467635159,0.2441718957545106,0.7207213094865309,1.1345825625880261,0.5647087604547879,1.2905951116197691,1.0602131031804294,1.0478302869531433,0.10966930167127516,0.10881285350385765,0.0060035368024515335,0.004984132990182812,0.013109636283667216,0.01195453978317344,0.8636745005555555,0,0.23343868879776197,0
2015-01-12,9,1,0,0,0,0.955151515,0.918844626275028,0.05939328680408843,0.24370737946169876,0.7123076676655378,1.1253815848845183,0.5565919192573243,1.2810973332927318,1.0478302869531433,1.056555384917194,0.10881285350385765,0.10952738166513279,0.004984132990182812,0.005834613800683688,0.01195453978317344,0.012918227966524781,0.8636745005555555,0,0.24421218728841398,0
2015-01-13,10,1,0,0,0,0.951420455,0.9041937711329421,0.07557139904637429,0.27490252644596463,0.6712195712887485,1.1371679709771356,0.4955718221750637,1.3128157200908204,1.056555384917194,1.0554268329567669,0.10952738166513279,0.11162205436708134,0.005834613800683688,0.008327838048287944,0.012918227966524781,0.005318880933350871,0.8636745005555555,0,0.28743168441503375,0
2015-01-14,11,1,0,0,0,0.891723485,0.9285705309189953,0.06051204198585632,0.24599195512426075,0.7200974417331514,1.1370436201048393,0.5629219738454672,1.2942190879925235,1.0554268329567669,1.044052185542134,0.11162205436708134,0.110700906110549,0.008327838048287944,0.007231423717453169,0.005318880933350871,0.0032279357441954972,0.8636745005555555,0,0.23394384411221186,0
2015-01-15,12,1,0,0,0,0.884261364,0.9221695290515359,0.06045267383732981,0.24587125459746165,0.7137987310632861,1.1305403270397858,0.5567003842414691,1.2876386738616028,1.044052185542134,1.0321999639319732,0.110700906110549,0.10965423024743762,0.007231423717453169,0.005985597751962783,0.0032279357441954972,0.0011181864750697125,0.8636745005555555,0,0.2418879027189223,0
2015-01-17,13,1,0,0,0,0.884261364,0.915614952390103,0.06043072016807911,0.24582660589952243,0.7072819932489928,1.1239479115312134,0.5502121745145501,1.281017730265656,1.0321999639319732,1.0223024207489007,0.10965423024743762,0.10872197461101188,0.005985597751962783,0.004875962649762704,0.0011181864750697125,-0.0005857997680532745,0.8636745005555555,0,0.25024900293724023,0
2015-01-21,17,1,0,0,0,0.505128205,0.9102031269832127,0.060429110323932,0.24582333152882782,0.7018729428034767,1.1185333111629487,0.544805216213656,1.2756010377527693,1.0223024207489007,0.8936484358476654,0.10872197461101188,0.09600318483746823,0.004875962649762704,-0.010262820146270963,-0.0005857997680532745,-0.021987006041681884,0.8636745005555555,1,0.25729728015932174,0
2015-01-22,18,1,0,0,0,0.649662222,0.8117652368379823,0.07916093560439061,0.2813555323863219,0.5733222480561939,1.0502082256197707,0.39355137943868096,1.2299790942372837,0.8936484358476654,0.8306063581946656,0.09600318483746823,0.09491628778233437,-0.010262820146270963,-0.01155652015486352,-0.021987006041681884,-0.04521195456808165,0.8636745005555555,1,0.4131196352715507,0
2015-01-24,19,1,0,0,0,0.578314394,0.8107134367437894,0.05934982313721471,0.243618191310121,0.6042520632462951,1.0171748102412836,0.44859330121166935,1.1728335722759093,0.8306063581946656,0.7660694808862258,0.09491628778233437,0.08594125267672435,-0.01155652015486352,-0.022239227351835374,-0.04521195456808165,-0.050137126036801205,0.8636745005555555,1,0.4015970334445198,0
2015-01-25,20,1,0,0,0,0.970075758,0.7741018710801685,0.059453623510805874,0.24383113728727485,0.567460030275666,0.9807437118846709,0.4116652073541017,1.1365385348062351,0.7660694808862258,0.8212453553440342,0.08594125267672435,0.09364624928609667,-0.022239227351835374,-0.013068207766615481,-0.050137126036801205,-0.04587826672187229,0.8636745005555555,0,0.4606300468184753,0
2015-01-26,21,1,0,0,0,0.910378788,0.793605663669874,0.060520257192939894,0.24600865267900618,0.5851184236520734,1.0020929036876745,0.42793228693589697,1.1592790404038509,0.8212453553440342,0.856099546673525,0.09364624928609667,0.09756176069442397,-0.013068207766615481,-0.008407695422165944,-0.04587826672187229,-0.0410151354327942,0.8636745005555555,0,0.4296550058334618,0
2015-01-27,22,1,0,0,0,0.77815,0.8139043761697174,0.06037525299099243,0.24571376231500025,0.6056670496302842,1.0221417027091508,0.448669331803314,1.179139420536121,0.856099546673525,0.8455916839316735,0.09756176069442397,0.09634132406845966,-0.008407695422165944,-0.009860343459106517,-0.0410151354327942,-0.04236982829029071,0.8636745005555555,0,0.3974023809562318,0
2015-01-28,23,1,0,0,0,0.9456,0.8077601253398075,0.060248672367497126,0.24545604976756455,0.599741204848892,1.015779045830723,0.4429081513102449,1.17261209936937,0.8455916839316735,0.8854848913100329,0.09634132406845966,0.101102680575527,-0.009860343459106517,-0.004193047807682994,-0.04236982829029071,-0.037622457984082903,0.8636745005555555,0,0.4069811229526748,0
2015-01-29,24,1,0,0,0,0.853666667,0.8312075418397483,0.06013505721017488,0.24522450369034265,0.6233848518555701,1.0390302318239266,0.4666997436552432,1.1957153400242535,0.8854848913100329,0.8918856798153616,0.101102680575527,0.10188373588434974,-0.004193047807682994,-0.003263381787370909,-0.037622457984082903,-0.03692015605521198,0.8636745005555555,0,0.37026336368095747,0
2015-01-31,25,1,0,0,0,0.971866667,0.8179461404077584,0.0625657820241943,0.250131529448397,0.6059648476839932,1.0299274331315236,0.4461444171554645,1.1897478636600523,0.8918856798153616,0.9363544096929,0.10188373588434974,0.10517354529171033,-0.003263381787370909,0.0006523767828333672,-0.03692015605521198,-0.027598126874287213,0.8636745005555555,0,0.39294878704650305,0
2015-02-01,26,1,0,0,0,0.950438596,0.8414307557501526,0.06366450222424021,0.2523182558283094,0.6275962576913015,1.0552652538090037,0.46637862804814534,1.21648288345216,0.9363544096929,0.9661687556022808,0.10517354529171033,0.10680713563491563,0.0006523767828333672,0.002596788933974127,-0.027598126874287213,-0.020260082663835798,0.8636745005555555,0,0.35854045826654735,0
2015-02-02,27,1,0,0,0,0.504596491,0.8648274340169078,0.06227973982608746,0.24955909085041855,0.6533312711537086,1.076323596880107,0.49387659772658093,1.2357782703072346,0.9661687556022808,0.8731507712584152,0.10680713563491563,0.10042419214833462,0.002596788933974127,-0.005000631635371842,-0.020260082663835798,-0.03997246538603895,0.8636745005555555,1,0.32271460581490286,0
2015-02-03,28,1,0,0,0,0.99485,0.823016292274577,0.059400197728721835,0.24372155778412757,0.6164673178303627,1.0295652667187913,0.460742510245964,1.18529007430319,0.8731507712584152,0.9180176083093019,0.10042419214833462,0.10797859459841445,-0.005000631635371842,0.003991140371385642,-0.03997246538603895,-0.040270596295696244,0.8636745005555555,0,0.38224534647123054,0
2015-02-04,29,1,0,0,0,0.929183333,0.8502093133560091,0.05937806107217556,0.24367613972684227,0.6436988297750521,1.0567197969369662,0.48800304185676724,1.212415584855251,0.9180176083093019,0.9384173567213498,0.10797859459841445,0.11136982158259046,0.003991140371385642,0.00802761315217483,-0.040270596295696244,-0.0404110965357931,0.8636745005555555,0,0.34044837401473593,0
2015-02-05,30,1,0,0,0,0.845458333,0.8542923617820202,0.05946984635839058,0.24386440158085923,0.647622330177377,1.0609623933866632,0.49180625318307103,1.2167784703809694,0.9384173567213498,0.936178863856155,0.11136982158259046,0.111058798483045,0.00802761315217483,0.007657411959105175,-0.0404110965357931,-0.04051590893311349,0.8636745005555555,0,0.3344473795099926,0
2015-02-07,31,1,0,0,0,0.870083333,0.8612973733768764,0.05931704834711693,0.24355091530749157,0.6548930148987926,1.0677017318549602,0.4992772385674414,1.2233175081863115,0.936178863856155,0.9383955284995638,0.111058798483045,0.11142658733133609,0.007657411959105175,0.008095179670358969,-0.04051590893311349,-0.04055257748585832,0.8636745005555555,0,0.3238434835460407,0
2015-02-08,32,1,0,0,0,0.893066667,0.8626774017644223,0.059266907968888206,0.24344795741367026,0.6563602979698104,1.0689945055590342,0.5008103061277362,1.2245444974011084,0.9383955284995638,0.9459553864248135,0.11142658733133609,0.11266026821635268,0.008095179670358969,0.009563591939955056,-0.04055257748585832,-0.040673825318375864,0.8636745005555555,0,0.32173960353313813,0
2015-02-09,33,1,0,0,0,0.962016667,0.8674290335574637,0.0592107482844208,0.24333258779789607,0.6612097031237183,1.073648363991209,0.5057334261855733,1.2291246409293541,0.9459553864248135,0.9691424111957868,0.11266026821635268,0.11638020053373903,0.009563591939955056,0.013991312530635739,-0.040673825318375864,-0.04103438759835657,0.8636745005555555,0,0.3146946662222292,0
2015-02-10,34,1,0,0,0,0.853666667,0.8736235980180355,0.059232074819424566,0.24337640563420393,0.6673671328751818,1.0798800631608891,0.5118628587250138,1.2353843373110571,0.9691424111957868,0.9643644480644463,0.11638020053373903,0.11575526731352945,0.013991312530635739,0.013247473812390864,-0.04103438759835657,-0.041240532017771274,0.8636745005555555,0,0.3057434078207262,0
2015-02-11,35,1,0,0,0,0.618361111,0.8705130556153545,0.059133627922423854,0.2431740691817774,0.6644280664269521,1.0765980448037569,0.5090530742549888,1.2319730369757202,0.9643644480644463,0.9049119898734743,0.11575526731352945,0.10790192295144042,0.013247473812390864,0.003899880477101648,-0.041240532017771274,-0.04331442508932099,0.8636745005555555,1,0.3100941492571897,0
2015-02-12,36,1,0,0,0,0.664875,0.831566315444878,0.05904250009442044,0.24298662534061508,0.6256401810312028,1.0374924498585534,0.47038495526957785,1.1927476756201782,0.9049119898734743,0.866189948202556,0.10790192295144042,0.10274665375533355,0.003899880477101648,-0.0022362772866885263,-0.04331442508932099,-0.0443669628486872,0.8636745005555555,1,0.3685552177352619,0
2015-02-14,37,1,0,0,0,0.796208333,0.8060371418286034,0.058957272332068135,0.24281118658757905,0.6002596881260102,1.0118145955311966,0.4451165581769501,1.1669577254802568,0.866189948202556,0.8639396969780391,0.10274665375533355,0.10244525555289472,-0.0022362772866885263,-0.0025950222618847997,-0.0443669628486872,-0.0444119799890206,0.8636745005555555,0,0.408740978064249,0
2015-02-15,38,1,0,0,0,1.1204375,0.825049585854164,0.05957693156944885,0.24408386175544022,0.6181935662950568,1.0319056054132711,0.4622372661962796,1.1878619055120483,0.8639396969780391,0.9323127399421107,0.10244525555289472,0.11590040749803227,-0.0025950222618847997,0.013420229693043498,-0.0444119799890206,-0.05280739927455516,0.8636745005555555,0,0.3792410797288899,0
2015-02-22,43,1,0,0,1,0.727349537,0.8481508788391815,0.05883669636492437,0.24256276788683867,0.6425839548424428,1.0537178028359202,0.48759955091961066,1.2087022067587523,0.9323127399421107,0.9055347537251482,0.11590040749803227,0.11256940653374566,0.013420229693043498,0.009455442084350781,-0.05280739927455516,-0.05361476463489951,0.8636745005555555,1,0.3428706508376856,0
