team_dept_idx,date,t,split_code,actual_y,y_pred,y_lo80,y_hi80,y_lo95,y_hi95,p_low,low_actual
0,2015-03-11,58,2,0.812625,0.7641137282544923,0.3285690611137575,0.9548967117358494,0.1439977551924068,0.9809182640085362,0.654,0
1,2015-03-11,58,2,0.628333333,0.7564890202317291,0.3067637598070873,0.950730099497404,0.1430938552142803,0.9824112002888512,0.6646666666666666,1
2,2015-03-11,58,2,0.874027778,0.8257848132021856,0.4137270564144454,0.9709558261200172,0.1904374111338442,0.9910459533956014,0.5513333333333333,0
3,2015-03-11,58,2,0.922839506,0.7911092338609974,0.360286903720883,0.9599956061788392,0.1463216108566685,0.985813741235652,0.62,0
4,2015-03-11,58,2,0.819270833,0.7654210646937432,0.3524286185291425,0.9561106653229566,0.1548656296781817,0.9821257115920272,0.643,0
5,2015-03-11,58,2,0.786631944,0.7861482322287774,0.3594696466320223,0.9616685348064484,0.178794785219945,0.985856068724878,0.6033333333333334,1
6,2015-03-11,58,2,0.813309028,0.7656058457258834,0.3148202990232251,0.9564753836703198,0.1501851668225694,0.9822801251892516,0.6516666666666666,0
7,2015-03-11,58,2,0.75885,0.7583605406107177,0.3283452450149119,0.9517243053143392,0.1491055058559098,0.9817153626638068,0.6586666666666666,0
8,2015-03-11,58,2,0.394722222,0.7021453547227501,0.2738248296828929,0.9416874652865213,0.1310416692725895,0.9796630900226568,0.7136666666666667,1
9,2015-03-11,58,2,0.625625,0.6700552396554714,0.2297969532420131,0.9297879393048324,0.091838435877934,0.9738355009640812,0.7586666666666667,1
10,2015-03-11,58,2,0.625625,0.7057384270310855,0.2716769604939907,0.9417828412300674,0.1043435737488065,0.9770853620026376,0.7206666666666667,1
11,2015-03-11,58,2,0.505888889,0.8463445330835694,0.4319876741349856,0.9754089579054596,0.2151169605590594,0.9904631099215456,0.5216666666666666,1
12,2015-03-11,58,2,0.750050847,0.7947167312472745,0.3616293880781818,0.9629602996404946,0.1647340085966758,0.9865302094808692,0.6093333333333333,0
13,2015-03-11,58,2,0.750608,0.7794784888276227,0.3573083503754218,0.958364327374617,0.1641607155682819,0.9848220842428784,0.6426666666666667,0
14,2015-03-11,58,2,0.800034503,0.8506729906352645,0.4796998983147776,0.9765046705588551,0.2698499135583823,0.9904014797732577,0.4846666666666667,0
15,2015-03-11,58,2,0.800401961,0.8054865422010603,0.3839768753442006,0.9655018780864656,0.1814941932817015,0.9872196054597658,0.5813333333333334,0
16,2015-03-11,58,2,0.750140741,0.7557221071827488,0.2884723404330136,0.9591628562471436,0.1298809766234051,0.9832157595687177,0.6436666666666667,0
17,2015-03-11,58,2,0.800071839,0.7483127020292311,0.2916189693143435,0.957324695179783,0.1236485727045699,0.9842078564481852,0.653,0
18,2015-03-11,58,2,0.750050847,0.7942517223083692,0.3736732773643377,0.9648143373498558,0.1889879136483888,0.985504726687392,0.584,0
19,2015-03-11,58,2,0.700556897,0.716078068086344,0.2612012320468923,0.9488079097921576,0.1114134324056763,0.9789490913412736,0.7083333333333334,0
20,2015-03-11,58,2,0.700246491,0.6587030048376045,0.2068633544543121,0.9351406698937036,0.0934973907493154,0.9771049564660292,0.765,0
21,2015-03-11,58,2,0.650596491,0.6528610087199731,0.2041329744915867,0.9294222845578042,0.0893726652651303,0.9775319412238632,0.759,0
22,2015-03-11,58,2,0.700505263,0.7062143864920661,0.2514294272505187,0.9461991711547374,0.0967955657225316,0.980584227695738,0.7113333333333334,0
23,2015-03-11,58,2,0.750347333,0.7974181013737821,0.380981419837624,0.9624640529308612,0.1755051067724523,0.9876326843306202,0.6023333333333334,0
