feature,train_missing_fraction,train_unique_non_missing,train_dominant_fraction,drop,drop_reasons
0,0.005474452554744526,1067,0.001834862385321101,False,
1,0.005474452554744526,1063,0.0027522935779816515,False,
2,0.0036496350364963502,363,0.01098901098901099,False,
3,0.0036496350364963502,370,0.009157509157509158,False,
4,0.0036496350364963502,361,0.009157509157509158,False,
5,0.0036496350364963502,1,1.0,True,zero_variance_in_train|near_constant_in_train
6,0.0036496350364963502,366,0.009157509157509158,False,
7,0.005474452554744526,79,0.04036697247706422,False,
8,0.0,886,0.0036496350364963502,False,
9,0.0,497,0.008211678832116789,False,
10,0.0,361,0.009124087591240875,False,
11,0.0,353,0.008211678832116789,False,
12,0.0,1090,0.0018248175182481751,False,
13,0.0,1,1.0,True,zero_variance_in_train|near_constant_in_train
14,0.0,1093,0.0018248175182481751,False,
15,0.0,1095,0.0018248175182481751,False,
16,0.0,1055,0.002737226277372263,False,
17,0.0,273,0.012773722627737226,False,
18,0.0,1086,0.0018248175182481751,False,
19,0.009124087591240875,270,0.01841620626151013,False,
20,0.0,486,0.009124087591240875,False,
21,0.0018248175182481751,949,0.003656307129798903,False,
22,0.0018248175182481751,901,0.003656307129798903,False,
23,0.0018248175182481751,1061,0.003656307129798903,False,
24,0.0018248175182481751,1046,0.0018281535648994515,False,
25,0.0018248175182481751,585,0.008226691042047532,False,
26,0.0018248175182481751,540,0.008226691042047532,False,
27,0.0018248175182481751,890,0.003656307129798903,False,
28,0.0018248175182481751,685,0.005484460694698354,False,
29,0.0018248175182481751,181,0.016453382084095063,False,
30,0.0018248175182481751,696,0.005484460694698354,False,
31,0.0018248175182481751,939,0.003656307129798903,False,
32,0.0009124087591240876,280,0.006392694063926941,False,
33,0.0009124087591240876,273,0.0091324200913242,False,
34,0.0009124087591240876,273,0.01004566210045662,False,
35,0.0009124087591240876,276,0.00821917808219178,False,
36,0.0009124087591240876,274,0.010958904109589041,False,
37,0.0009124087591240876,272,0.012785388127853882,False,
38,0.0009124087591240876,273,0.010958904109589041,False,
39,0.0009124087591240876,275,0.011872146118721462,False,
40,0.010036496350364963,243,0.012903225806451613,False,
41,0.010036496350364963,264,0.010138248847926268,False,
42,0.0009124087591240876,1,1.0,True,zero_variance_in_train|near_constant_in_train
43,0.0009124087591240876,1075,0.0018264840182648401,False,
44,0.0009124087591240876,1004,0.0045662100456621,False,
45,0.0009124087591240876,1070,0.0018264840182648401,False,
46,0.0009124087591240876,1093,0.0018264840182648401,False,
47,0.0009124087591240876,969,0.0036529680365296802,False,
48,0.0009124087591240876,1060,0.0018264840182648401,False,
49,0.0009124087591240876,1,1.0,True,zero_variance_in_train|near_constant_in_train
50,0.0009124087591240876,1074,0.0018264840182648401,False,
51,0.0009124087591240876,1095,0.0009132420091324201,False,
52,0.0009124087591240876,1,1.0,True,zero_variance_in_train|near_constant_in_train
53,0.002737226277372263,131,0.0292772186642269,False,
54,0.002737226277372263,154,0.023787740164684355,False,
55,0.002737226277372263,98,0.03110704483074108,False,
56,0.002737226277372263,164,0.022872827081427266,False,
57,0.002737226277372263,148,0.03019213174748399,False,
58,0.002737226277372263,303,0.01463860933211345,False,
59,0.0036496350364963502,1067,0.0027472527472527475,False,
